borough,age,date,asthma_er_count,ppt
Bronx,Ages 0-4 years,2016-10-02,15,0.22142298194731888
Bronx,Ages 0-4 years,2016-10-03,13,0
Bronx,Ages 0-4 years,2016-10-04,14,0.1976743828948013
Bronx,Ages 0-4 years,2016-10-05,14,0
Bronx,Ages 0-4 years,2016-10-06,11,0
Bronx,Ages 0-4 years,2016-10-07,6,0
Bronx,Ages 0-4 years,2016-10-08,8,0
Bronx,Ages 0-4 years,2016-10-09,12,13.357900849124821
Bronx,Ages 0-4 years,2016-10-10,9,10.882312879262432
Bronx,Ages 0-4 years,2016-10-11,12,0
Bronx,Ages 0-4 years,2016-10-12,13,0
Bronx,Ages 0-4 years,2016-10-13,8,0
Bronx,Ages 0-4 years,2016-10-14,11,0.41191719634974966
Bronx,Ages 0-4 years,2016-10-15,7,0
Bronx,Ages 0-4 years,2016-10-16,16,0
Bronx,Ages 0-4 years,2016-10-17,14,0
Bronx,Ages 0-4 years,2016-10-18,15,0
Bronx,Ages 0-4 years,2016-10-19,9,0
Bronx,Ages 0-4 years,2016-10-20,12,0
Bronx,Ages 0-4 years,2016-10-21,5,0
Bronx,Ages 0-4 years,2016-10-22,7,16.899240053589214
Bronx,Ages 0-4 years,2016-10-23,7,4.76430033920543
Bronx,Ages 0-4 years,2016-10-24,13,0
Bronx,Ages 0-4 years,2016-10-25,16,0
Bronx,Ages 0-4 years,2016-10-26,10,0
Bronx,Ages 0-4 years,2016-10-27,15,0
Bronx,Ages 0-4 years,2016-10-28,5,9.889787785891658
Bronx,Ages 0-4 years,2016-10-29,13,0
Bronx,Ages 0-4 years,2016-10-30,6,0
Bronx,Ages 0-4 years,2016-10-31,7,5.983441293513432
Bronx,Ages 0-4 years,2016-11-01,10,0
Bronx,Ages 0-4 years,2016-11-02,13,0
Bronx,Ages 0-4 years,2016-11-03,13,0
Bronx,Ages 0-4 years,2016-11-04,6,0
Bronx,Ages 0-4 years,2016-11-05,10,0
Bronx,Ages 0-4 years,2016-11-06,9,0
Bronx,Ages 0-4 years,2016-11-07,14,0
Bronx,Ages 0-4 years,2016-11-08,12,0
Bronx,Ages 0-4 years,2016-11-09,15,0
Bronx,Ages 0-4 years,2016-11-10,12,6.128876804137952
Bronx,Ages 0-4 years,2016-11-11,8,0
Bronx,Ages 0-4 years,2016-11-12,8,0
Bronx,Ages 0-4 years,2016-11-13,13,0
Bronx,Ages 0-4 years,2016-11-14,16,0
Bronx,Ages 0-4 years,2016-11-15,7,9.04425715886035
Bronx,Ages 0-4 years,2016-11-16,14,41.209237277442234
Bronx,Ages 0-4 years,2016-11-17,14,0
Bronx,Ages 0-4 years,2016-11-18,12,0
Bronx,Ages 0-4 years,2016-11-19,6,0
Bronx,Ages 0-4 years,2016-11-20,6,9.956816390945908
Bronx,Ages 0-4 years,2016-11-21,10,0
Bronx,Ages 0-4 years,2016-11-22,8,0
Bronx,Ages 0-4 years,2016-11-23,9,0
Bronx,Ages 0-4 years,2016-11-24,8,0
Bronx,Ages 0-4 years,2016-11-25,9,0.08556619233628034
Bronx,Ages 0-4 years,2016-11-26,9,0.02495595428353163
Bronx,Ages 0-4 years,2016-11-27,11,0
Bronx,Ages 0-4 years,2016-11-28,17,0
Bronx,Ages 0-4 years,2016-11-29,12,0
Bronx,Ages 0-4 years,2016-11-30,12,35.89852679663662
Bronx,Ages 0-4 years,2016-12-01,12,20.254388177733965
Bronx,Ages 0-4 years,2016-12-02,10,0
Bronx,Ages 0-4 years,2016-12-03,12,0
Bronx,Ages 0-4 years,2016-12-04,13,0
Bronx,Ages 0-4 years,2016-12-05,8,4.652792337170969
Bronx,Ages 0-4 years,2016-12-06,13,0.14871069662370887
Bronx,Ages 0-4 years,2016-12-07,20,11.591541944493727
Bronx,Ages 0-4 years,2016-12-08,6,0.1961992716853492
Bronx,Ages 0-4 years,2016-12-09,6,0
Bronx,Ages 0-4 years,2016-12-10,8,0
Bronx,Ages 0-4 years,2016-12-11,5,0
Bronx,Ages 0-4 years,2016-12-12,15,12.186186020533196
Bronx,Ages 0-4 years,2016-12-13,8,2.102760666162647
Bronx,Ages 0-4 years,2016-12-14,16,0
Bronx,Ages 0-4 years,2016-12-15,12,0
Bronx,Ages 0-4 years,2016-12-16,16,0
Bronx,Ages 0-4 years,2016-12-17,6,9.641694019781378
Bronx,Ages 0-4 years,2016-12-18,8,9.420214654587136
Bronx,Ages 0-4 years,2016-12-19,14,0.7243201204843885
Bronx,Ages 0-4 years,2016-12-20,14,0
Bronx,Ages 0-4 years,2016-12-21,3,0
Bronx,Ages 0-4 years,2016-12-22,7,0
Bronx,Ages 0-4 years,2016-12-23,9,0
Bronx,Ages 0-4 years,2016-12-24,3,1.983432753630008
Bronx,Ages 0-4 years,2016-12-25,4,10.776538774424516
Bronx,Ages 0-4 years,2016-12-26,8,0
Bronx,Ages 0-4 years,2016-12-27,10,6.252186139563304e-5
Bronx,Ages 0-4 years,2016-12-28,7,0
Bronx,Ages 0-4 years,2016-12-29,10,0
Bronx,Ages 0-4 years,2016-12-30,5,6.972089689773452
Bronx,Ages 0-4 years,2016-12-31,4,0
Bronx,Ages 0-4 years,2017-01-01,9,0
Bronx,Ages 0-4 years,2017-01-02,9,0.6355394458413373
Bronx,Ages 0-4 years,2017-01-03,12,10.857753367866183
Bronx,Ages 0-4 years,2017-01-04,8,11.705461237063965
Bronx,Ages 0-4 years,2017-01-05,6,0
Bronx,Ages 0-4 years,2017-01-06,7,1.9087057973086696
Bronx,Ages 0-4 years,2017-01-07,3,0.3120202722706504
Bronx,Ages 0-4 years,2017-01-08,4,8.960311798045854
Bronx,Ages 0-4 years,2017-01-09,5,0
Bronx,Ages 0-4 years,2017-01-10,6,0
Bronx,Ages 0-4 years,2017-01-11,9,6.656568049613384
Bronx,Ages 0-4 years,2017-01-12,6,7.315286833890871
Bronx,Ages 0-4 years,2017-01-13,6,6.475915478006351e-6
Bronx,Ages 0-4 years,2017-01-14,2,0
Bronx,Ages 0-4 years,2017-01-15,4,7.138765079301326
Bronx,Ages 0-4 years,2017-01-16,3,0
Bronx,Ages 0-4 years,2017-01-17,5,0
Bronx,Ages 0-4 years,2017-01-18,5,13.533623024668618
Bronx,Ages 0-4 years,2017-01-19,8,0
Bronx,Ages 0-4 years,2017-01-20,3,0
Bronx,Ages 0-4 years,2017-01-21,8,3.825844570243758
Bronx,Ages 0-4 years,2017-01-22,7,0
Bronx,Ages 0-4 years,2017-01-23,7,1.0370967942054599
Bronx,Ages 0-4 years,2017-01-24,9,41.747122834003754
Bronx,Ages 0-4 years,2017-01-25,5,13.85371557775592
Bronx,Ages 0-4 years,2017-01-26,4,0
Bronx,Ages 0-4 years,2017-01-27,1,1.4374608131398499
Bronx,Ages 0-4 years,2017-01-28,3,0
Bronx,Ages 0-4 years,2017-01-29,7,0
Bronx,Ages 0-4 years,2017-01-30,6,0
Bronx,Ages 0-4 years,2017-01-31,7,0
Bronx,Ages 0-4 years,2017-02-01,5,1.2253212239220272
Bronx,Ages 0-4 years,2017-02-02,4,0
Bronx,Ages 0-4 years,2017-02-03,7,0
Bronx,Ages 0-4 years,2017-02-04,7,0
Bronx,Ages 0-4 years,2017-02-05,9,0
Bronx,Ages 0-4 years,2017-02-06,4,0
Bronx,Ages 0-4 years,2017-02-07,5,0.3633410563760655
Bronx,Ages 0-4 years,2017-02-08,2,4.0813575299021165
Bronx,Ages 0-4 years,2017-02-09,4,9.884849470364044
Bronx,Ages 0-4 years,2017-02-10,2,14.742112216999885
Bronx,Ages 0-4 years,2017-02-11,5,0
Bronx,Ages 0-4 years,2017-02-12,3,1.4376688319499407
Bronx,Ages 0-4 years,2017-02-13,5,8.478374488434879
Bronx,Ages 0-4 years,2017-02-14,5,0
Bronx,Ages 0-4 years,2017-02-15,4,0
Bronx,Ages 0-4 years,2017-02-16,11,0
Bronx,Ages 0-4 years,2017-02-17,3,0
Bronx,Ages 0-4 years,2017-02-18,7,0
Bronx,Ages 0-4 years,2017-02-19,4,0
Bronx,Ages 0-4 years,2017-02-20,3,0
Bronx,Ages 0-4 years,2017-02-21,6,0
Bronx,Ages 0-4 years,2017-02-22,8,0
Bronx,Ages 0-4 years,2017-02-23,5,0
Bronx,Ages 0-4 years,2017-02-24,7,0
Bronx,Ages 0-4 years,2017-02-25,5,0
Bronx,Ages 0-4 years,2017-02-26,5,8.770357014774815
Bronx,Ages 0-4 years,2017-02-27,7,0
Bronx,Ages 0-4 years,2017-02-28,8,0
Bronx,Ages 0-4 years,2017-03-01,5,0
Bronx,Ages 0-4 years,2017-03-02,1,1.7221117910977461
Bronx,Ages 0-4 years,2017-03-03,1,0
Bronx,Ages 0-4 years,2017-03-04,6,0
Bronx,Ages 0-4 years,2017-03-05,6,0
Bronx,Ages 0-4 years,2017-03-06,5,0
Bronx,Ages 0-4 years,2017-03-07,7,0.1037392362395685
Bronx,Ages 0-4 years,2017-03-08,6,2.574791894065347
Bronx,Ages 0-4 years,2017-03-09,7,0
Bronx,Ages 0-4 years,2017-03-10,7,4.17322877352924e-5
Bronx,Ages 0-4 years,2017-03-11,6,6.860888658844795
Bronx,Ages 0-4 years,2017-03-12,7,0
Bronx,Ages 0-4 years,2017-03-13,13,0
Bronx,Ages 0-4 years,2017-03-14,5,14.249362123897207
Bronx,Ages 0-4 years,2017-03-15,4,35.67834366838878
Bronx,Ages 0-4 years,2017-03-16,7,0.016224497882688507
Bronx,Ages 0-4 years,2017-03-17,7,0
Bronx,Ages 0-4 years,2017-03-18,4,0
Bronx,Ages 0-4 years,2017-03-19,5,1.431080353452592
Bronx,Ages 0-4 years,2017-03-20,6,0
Bronx,Ages 0-4 years,2017-03-21,11,0
Bronx,Ages 0-4 years,2017-03-22,9,0
Bronx,Ages 0-4 years,2017-03-23,8,0
Bronx,Ages 0-4 years,2017-03-24,5,0
Bronx,Ages 0-4 years,2017-03-25,11,0
Bronx,Ages 0-4 years,2017-03-26,8,0.759930774059493
Bronx,Ages 0-4 years,2017-03-27,7,0.9172110195980483
Bronx,Ages 0-4 years,2017-03-28,12,7.829718965412543
Bronx,Ages 0-4 years,2017-03-29,7,15.030032866663003
Bronx,Ages 0-4 years,2017-03-30,9,0
Bronx,Ages 0-4 years,2017-03-31,13,14.881591825144639
Bronx,Ages 0-4 years,2017-04-01,10,38.022091327337726
Bronx,Ages 0-4 years,2017-04-02,7,0
Bronx,Ages 0-4 years,2017-04-03,10,0
Bronx,Ages 0-4 years,2017-04-04,12,30.34701465892558
Bronx,Ages 0-4 years,2017-04-05,5,1.6890530071770817
Bronx,Ages 0-4 years,2017-04-06,6,0.9318987130794417
Bronx,Ages 0-4 years,2017-04-07,9,20.20720212048082
Bronx,Ages 0-4 years,2017-04-08,9,0.017532065606257866
Bronx,Ages 0-4 years,2017-04-09,8,0
Bronx,Ages 0-4 years,2017-04-10,10,0
Bronx,Ages 0-4 years,2017-04-11,10,0
Bronx,Ages 0-4 years,2017-04-12,8,0
Bronx,Ages 0-4 years,2017-04-13,10,0.6862691509816459
Bronx,Ages 0-4 years,2017-04-14,8,0
Bronx,Ages 0-4 years,2017-04-15,5,0
Bronx,Ages 0-4 years,2017-04-16,8,0
Bronx,Ages 0-4 years,2017-04-17,2,0.41275384417841465
Bronx,Ages 0-4 years,2017-04-18,7,0
Bronx,Ages 0-4 years,2017-04-19,5,0
Bronx,Ages 0-4 years,2017-04-20,9,0.5473417831154623
Bronx,Ages 0-4 years,2017-04-21,6,2.0588609265143836
Bronx,Ages 0-4 years,2017-04-22,6,0.38988920379567577
Bronx,Ages 0-4 years,2017-04-23,9,2.6456448862377413
Bronx,Ages 0-4 years,2017-04-24,9,0
Bronx,Ages 0-4 years,2017-04-25,8,0.6568549082499103
