borough,date,asthma_er_count,ppt,pm25
Brooklyn,2017-11-08,105,19.035948674468024,NA
Brooklyn,2017-11-09,70,0,NA
Brooklyn,2017-11-10,74,0.033872258645209444,NA
Brooklyn,2017-11-11,90,0,NA
Brooklyn,2017-11-12,95,0,NA
Brooklyn,2017-11-13,132,1.3222765872699222e-6,NA
Brooklyn,2017-11-14,106,1.7879800982947682,NA
Brooklyn,2017-11-15,90,0,NA
Brooklyn,2017-11-16,100,3.418310998916906,NA
Brooklyn,2017-11-17,101,1.580080937492292,NA
Brooklyn,2017-11-18,106,0,NA
Brooklyn,2017-11-19,85,11.234136306418534,NA
Brooklyn,2017-11-20,95,0.6909458137154288,NA
Brooklyn,2017-11-21,95,0,NA
Brooklyn,2017-11-22,99,2.067319902402548,NA
Brooklyn,2017-11-23,80,5.095402909995185,NA
Brooklyn,2017-11-24,86,0,NA
Brooklyn,2017-11-25,110,0,NA
Brooklyn,2017-11-26,101,0,NA
Brooklyn,2017-11-27,125,0,NA
Brooklyn,2017-11-28,117,0,NA
Brooklyn,2017-11-29,92,0,NA
Brooklyn,2017-11-30,92,0,NA
Brooklyn,2017-12-01,99,0.49043458207835566,NA
Brooklyn,2017-12-02,86,0,NA
Brooklyn,2017-12-03,90,0,NA
Brooklyn,2017-12-04,107,0,NA
Brooklyn,2017-12-05,97,0,NA
Brooklyn,2017-12-06,97,14.25058715850474,NA
Brooklyn,2017-12-07,116,0,NA
Brooklyn,2017-12-08,70,0,NA
Brooklyn,2017-12-09,68,0,NA
Brooklyn,2017-12-10,93,10.958139047825384,NA
Brooklyn,2017-12-11,106,4.468194819066641e-5,NA
Brooklyn,2017-12-12,96,0,NA
Brooklyn,2017-12-13,83,2.922767979363557e-4,NA
Brooklyn,2017-12-14,93,1.8301095336177668,NA
Brooklyn,2017-12-15,100,0.3629008072210959,NA
Brooklyn,2017-12-16,80,3.1808467896533403,NA
Brooklyn,2017-12-17,97,0,NA
Brooklyn,2017-12-18,124,0.779578365642816,NA
Brooklyn,2017-12-19,107,0,NA
Brooklyn,2017-12-20,101,0,NA
Brooklyn,2017-12-21,82,0,NA
Brooklyn,2017-12-22,82,0,NA
Brooklyn,2017-12-23,74,1.9070425048138218,NA
Brooklyn,2017-12-24,87,11.689774437493895,NA
Brooklyn,2017-12-25,56,7.449864044604379,NA
Brooklyn,2017-12-26,109,0,NA
Brooklyn,2017-12-27,99,0,NA
Brooklyn,2017-12-28,85,0,NA
Brooklyn,2017-12-29,98,0,NA
Brooklyn,2017-12-30,72,0,NA
Brooklyn,2017-12-31,60,1.229854140945436,NA
Brooklyn,2018-01-01,86,0,NA
Brooklyn,2018-01-02,109,0,NA
Brooklyn,2018-01-03,107,0,NA
Brooklyn,2018-01-04,74,2.7023212344124223,NA
