borough,date,asthma_er_count,ppt
Manhattan,2019-08-25,29,0
Manhattan,2019-08-26,38,0
Manhattan,2019-08-27,37,0
Manhattan,2019-08-28,48,0.006644052586217575
Manhattan,2019-08-29,38,1.536521018746474
Manhattan,2019-08-30,24,0
Manhattan,2019-08-31,34,0
Manhattan,2019-09-01,31,0
Manhattan,2019-09-02,41,0
Manhattan,2019-09-03,40,11.5517961560387
Manhattan,2019-09-04,42,0
Manhattan,2019-09-05,27,0.5870755626658363
Manhattan,2019-09-06,32,0
Manhattan,2019-09-07,32,8.161084911901272
Manhattan,2019-09-08,43,0
Manhattan,2019-09-09,51,0
Manhattan,2019-09-10,38,0.37358702839763597
Manhattan,2019-09-11,33,0
Manhattan,2019-09-12,56,0.02951940633485755
Manhattan,2019-09-13,49,2.3945094261788724
Manhattan,2019-09-14,44,0
Manhattan,2019-09-15,63,0.044011022146103
Manhattan,2019-09-16,74,0
Manhattan,2019-09-17,60,0
Manhattan,2019-09-18,56,0
Manhattan,2019-09-19,57,0
Manhattan,2019-09-20,55,0
Manhattan,2019-09-21,53,0
Manhattan,2019-09-22,48,0
Manhattan,2019-09-23,60,0
Manhattan,2019-09-24,60,0.9599038076355945
Manhattan,2019-09-25,55,0
Manhattan,2019-09-26,51,0
Manhattan,2019-09-27,40,0.6793800711223345
Manhattan,2019-09-28,30,0
Manhattan,2019-09-29,34,0
Manhattan,2019-09-30,64,0
Manhattan,2019-10-01,52,0.004787431581290273
Manhattan,2019-10-02,48,0
Manhattan,2019-10-03,47,9.568450071183147
Manhattan,2019-10-04,47,6.487693495501761
Manhattan,2019-10-05,29,0
Manhattan,2019-10-06,42,0
Manhattan,2019-10-07,50,0.457830235194889
Manhattan,2019-10-08,43,7.392651570563671
Manhattan,2019-10-09,37,0
Manhattan,2019-10-10,50,15.139456174420923
Manhattan,2019-10-11,40,0
Manhattan,2019-10-12,26,0
Manhattan,2019-10-13,39,0
Manhattan,2019-10-14,52,0
Manhattan,2019-10-15,48,0
Manhattan,2019-10-16,51,0
Manhattan,2019-10-17,32,49.31507497222693
Manhattan,2019-10-18,39,0
Manhattan,2019-10-19,49,0
Manhattan,2019-10-20,46,0
Manhattan,2019-10-21,48,12.844638181023534
Manhattan,2019-10-22,44,0
Manhattan,2019-10-23,38,14.021425711483746
Manhattan,2019-10-24,54,0
Manhattan,2019-10-25,41,0
Manhattan,2019-10-26,48,0
Manhattan,2019-10-27,43,2.368367208046821
Manhattan,2019-10-28,67,33.444584721678865
Manhattan,2019-10-29,53,0.018771995487158275
Manhattan,2019-10-30,45,3.1035004074624064
Manhattan,2019-10-31,39,9.30164397804564
Manhattan,2019-11-01,33,9.654796573306143
Manhattan,2019-11-02,41,0
Manhattan,2019-11-03,39,0
Manhattan,2019-11-04,43,0
Manhattan,2019-11-05,43,0
Manhattan,2019-11-06,35,0
Manhattan,2019-11-07,50,0
Manhattan,2019-11-08,53,2.521123156845782
Manhattan,2019-11-09,32,0
Manhattan,2019-11-10,51,0
Manhattan,2019-11-11,53,0
Manhattan,2019-11-12,47,0.3836889344903969
Manhattan,2019-11-13,64,0.7997556023792063
Manhattan,2019-11-14,49,0.011651514346702337
Manhattan,2019-11-15,41,0
Manhattan,2019-11-16,29,0
Manhattan,2019-11-17,36,0
Manhattan,2019-11-18,55,0.18474005992278197
Manhattan,2019-11-19,57,16.234077324734674
Manhattan,2019-11-20,46,0
Manhattan,2019-11-21,41,0
Manhattan,2019-11-22,44,0
Manhattan,2019-11-23,24,1.5448064404329194
Manhattan,2019-11-24,38,15.296247384723157
Manhattan,2019-11-25,50,6.259132449909286
Manhattan,2019-11-26,45,0
Manhattan,2019-11-27,49,0
Manhattan,2019-11-28,35,0.9788440649901621
Manhattan,2019-11-29,46,0
Manhattan,2019-11-30,47,0
Manhattan,2019-12-01,43,0
Manhattan,2019-12-02,55,17.161139743828656
Manhattan,2019-12-03,53,11.971312842843648
Manhattan,2019-12-04,46,6.27597758097569e-4
Manhattan,2019-12-05,47,0
Manhattan,2019-12-06,38,0
Manhattan,2019-12-07,40,0
Manhattan,2019-12-08,43,0
Manhattan,2019-12-09,43,10.377731527907727
Manhattan,2019-12-10,53,31.43869915671413
Manhattan,2019-12-11,46,11.530197117441292
Manhattan,2019-12-12,44,0.5671106864826485
Manhattan,2019-12-13,40,0
Manhattan,2019-12-14,42,48.92585058880491
Manhattan,2019-12-15,41,0.6539962440406656
Manhattan,2019-12-16,47,0
Manhattan,2019-12-17,43,13.890641706668504
Manhattan,2019-12-18,53,11.343486725987113
Manhattan,2019-12-19,49,0.342898053023116
Manhattan,2019-12-20,38,0
Manhattan,2019-12-21,37,0
Manhattan,2019-12-22,32,0
Manhattan,2019-12-23,48,0
Manhattan,2019-12-24,35,0
Manhattan,2019-12-25,36,0
Manhattan,2019-12-26,39,0
Manhattan,2019-12-27,48,0
Manhattan,2019-12-28,45,0
Manhattan,2019-12-29,43,0
Manhattan,2019-12-30,52,15.314946465257819
Queens,2016-01-01,28,0
Queens,2016-01-02,46,0
Queens,2016-01-03,22,0
Queens,2016-01-04,35,0
Queens,2016-01-05,33,0
Queens,2016-01-06,36,0
Queens,2016-01-07,42,0
Queens,2016-01-08,28,0
Queens,2016-01-09,28,0
Queens,2016-01-10,28,27.559265831603117
Queens,2016-01-11,36,6.238718611637166
Queens,2016-01-12,49,0
Queens,2016-01-13,38,0.3022761259648054
Queens,2016-01-14,39,0
Queens,2016-01-15,34,0
Queens,2016-01-16,35,8.480443390425316
Queens,2016-01-17,46,0.16069798972348012
Queens,2016-01-18,33,1.4158384250048952
Queens,2016-01-19,49,0
Queens,2016-01-20,34,0
Queens,2016-01-21,45,0
Queens,2016-01-22,32,0
Queens,2016-01-23,21,16.59691501836148
Queens,2016-01-24,33,47.27626682564006
Queens,2016-01-25,42,0
Queens,2016-01-26,40,0
Queens,2016-01-27,33,0.16712410049722784
Queens,2016-01-28,41,0
Queens,2016-01-29,30,0
Queens,2016-01-30,21,1.920153046744496e-7
Queens,2016-01-31,37,0
Queens,2016-02-01,42,0
Queens,2016-02-02,53,1.190285778104773
Queens,2016-02-03,36,0
Queens,2016-02-04,29,14.13115848144343
Queens,2016-02-05,31,15.555287337778704
Queens,2016-02-06,31,7.227318956838212
Queens,2016-02-07,38,0
Queens,2016-02-08,36,0
Queens,2016-02-09,42,4.4118866621643855
Queens,2016-02-10,48,0.1346525440376599
Queens,2016-02-11,42,8.204242776726665e-4
Queens,2016-02-12,39,0
Queens,2016-02-13,30,0
Queens,2016-02-14,31,0
Queens,2016-02-15,39,0
Queens,2016-02-16,46,14.351983552760004
Queens,2016-02-17,36,16.40281369408668
Queens,2016-02-18,44,0
Queens,2016-02-19,36,0
Queens,2016-02-20,33,0
Queens,2016-02-21,34,0
Queens,2016-02-22,39,1.4766965608515361
Queens,2016-02-23,34,0
Queens,2016-02-24,27,11.229047726128584
Queens,2016-02-25,30,29.986897735887133
Queens,2016-02-26,31,0.3479432637590265
Queens,2016-02-27,43,0
Queens,2016-02-28,42,0
Queens,2016-02-29,40,0
Queens,2016-03-01,29,1.0900677033256256
Queens,2016-03-02,30,4.728042904434946
Queens,2016-03-03,37,0
Queens,2016-03-04,30,1.8224595388011833
Queens,2016-03-05,34,1.2570396308732736
Queens,2016-03-06,35,0
Queens,2016-03-07,47,0
Queens,2016-03-08,35,0
Queens,2016-03-09,40,0
Queens,2016-03-10,30,0
Queens,2016-03-11,30,1.0575739470047785
Queens,2016-03-12,47,0
Queens,2016-03-13,36,0
Queens,2016-03-14,39,0.8083328232482667
Queens,2016-03-15,62,11.266693979834766
Queens,2016-03-16,37,0
Queens,2016-03-17,40,1.0323442924445116
Queens,2016-03-18,46,0.4802004906920198
Queens,2016-03-19,37,0
Queens,2016-03-20,45,0
Queens,2016-03-21,52,3.45608404232237
Queens,2016-03-22,40,0
Queens,2016-03-23,44,0
Queens,2016-03-24,45,0
Queens,2016-03-25,33,0
Queens,2016-03-26,35,0.17114338507158997
Queens,2016-03-27,31,0
Queens,2016-03-28,49,5.434957609906106
Queens,2016-03-29,30,8.618238384192386
Queens,2016-03-30,32,0
Queens,2016-03-31,46,0
Queens,2016-04-01,24,0.06196997113172133
Queens,2016-04-02,37,1.7873553451156028
Queens,2016-04-03,28,11.58457573741016
Queens,2016-04-04,33,0.3509683304119798
Queens,2016-04-05,39,11.5739104277814
Queens,2016-04-06,21,0
Queens,2016-04-07,43,0
Queens,2016-04-08,26,4.866904078803007
Queens,2016-04-09,30,0.018268207165091227
Queens,2016-04-10,30,2.762583244732998
Queens,2016-04-11,37,0
Queens,2016-04-12,35,0.21274628708357365
Queens,2016-04-13,35,4.98511323674073
Queens,2016-04-14,25,0
Queens,2016-04-15,29,0
Queens,2016-04-16,38,0
Queens,2016-04-17,29,0
Queens,2016-04-18,29,0
Queens,2016-04-19,26,0
Queens,2016-04-20,40,4.62682335045763e-5
Queens,2016-04-21,29,0
Queens,2016-04-22,28,0
Queens,2016-04-23,28,6.007222199934028
Queens,2016-04-24,32,0.03667731025190182
Queens,2016-04-25,33,0
Queens,2016-04-26,34,3.6532456292595703
Queens,2016-04-27,29,2.145670564221823
Queens,2016-04-28,31,0
Queens,2016-04-29,30,0.19996969489271835
Queens,2016-04-30,31,0.65091883958828
Queens,2016-05-01,39,0.40471768380987816
Queens,2016-05-02,35,5.545735527565938
Queens,2016-05-03,30,16.47350101624472
Queens,2016-05-04,39,4.336715582526172
Queens,2016-05-05,23,1.3981558686056053
Queens,2016-05-06,40,11.775684641133182
Queens,2016-05-07,19,7.015647341072132
Queens,2016-05-08,20,1.7959743287657421
Queens,2016-05-09,39,1.296055046789258
Queens,2016-05-10,36,0
Queens,2016-05-11,36,0
Queens,2016-05-12,42,0
Queens,2016-05-13,44,0.011802744684667514
Queens,2016-05-14,36,5.072527563205453
Queens,2016-05-15,51,0.4019820265102991
Queens,2016-05-16,51,0
Queens,2016-05-17,46,0
Queens,2016-05-18,35,0.1618286400385484
Queens,2016-05-19,32,0.7922688329053432
Queens,2016-05-20,32,0
Queens,2016-05-21,41,0
Queens,2016-05-22,43,4.926179817952382
Queens,2016-05-23,62,1.7915033370592276e-6
Queens,2016-05-24,40,7.4119625543284595
Queens,2016-05-25,34,1.0491423629291963
Queens,2016-05-26,32,0
Queens,2016-05-27,35,0
Queens,2016-05-28,32,0
Queens,2016-05-29,42,0
Queens,2016-05-30,36,29.3825674273588
Queens,2016-05-31,42,1.0237689073488059
Queens,2016-06-01,26,0
Queens,2016-06-02,35,0
Queens,2016-06-03,39,6.728308455943298e-8
Queens,2016-06-04,32,0.3506393067963733
Queens,2016-06-05,29,1.6839668557828564
Queens,2016-06-06,40,13.404209065706228
Queens,2016-06-07,45,0
Queens,2016-06-08,36,0.21771238847486168
Queens,2016-06-09,28,14.782572230224993
Queens,2016-06-10,39,0
Queens,2016-06-11,30,0
Queens,2016-06-12,32,1.5179893369364208
Queens,2016-06-13,34,0
Queens,2016-06-14,42,0
Queens,2016-06-15,24,0
Queens,2016-06-16,22,1.8472193758479991
Queens,2016-06-17,36,0.7535330839755682
Queens,2016-06-18,29,0.0015723239745006835
Queens,2016-06-19,30,0.003909565563445924
Queens,2016-06-20,40,0
Queens,2016-06-21,38,0.003935220547436285
Queens,2016-06-22,32,0.0020688852267561745
Queens,2016-06-23,24,0
Queens,2016-06-24,34,3.6236272220680496e-5
Queens,2016-06-25,27,0
Queens,2016-06-26,30,0
Queens,2016-06-27,38,0
Queens,2016-06-28,35,9.944867398513336
Queens,2016-06-29,29,1.6758785711535804
Queens,2016-06-30,29,0
Queens,2016-07-01,27,0.1388341790098629
Queens,2016-07-02,31,22.200418790808758
Queens,2016-07-03,24,0
Queens,2016-07-04,34,2.0463629701750401e-7
Queens,2016-07-05,45,22.83412386121613
Queens,2016-07-06,28,0
Queens,2016-07-07,25,0
Queens,2016-07-08,22,2.5969934420552283
Queens,2016-07-09,21,0.9917955530193047
Queens,2016-07-10,25,7.508544746326758
Queens,2016-07-11,35,0
Queens,2016-07-12,31,0
Queens,2016-07-13,24,0
Queens,2016-07-14,39,0.6230408059552278
Queens,2016-07-15,26,11.492422501526436
Queens,2016-07-16,26,3.510683442307921e-5
Queens,2016-07-17,24,1.7819389432715624
Queens,2016-07-18,41,0
Queens,2016-07-19,38,4.3444827015493095
Queens,2016-07-20,26,0
Queens,2016-07-21,25,0
Queens,2016-07-22,22,0
Queens,2016-07-23,25,0
Queens,2016-07-24,29,0
Queens,2016-07-25,27,0.9039700867146611
Queens,2016-07-26,30,19.83672452966165
Queens,2016-07-27,30,0
Queens,2016-07-28,28,0
Queens,2016-07-29,30,12.474474084288094
Queens,2016-07-30,24,6.495590406243953
Queens,2016-07-31,23,9.549783967905046
Queens,2016-08-01,33,11.921333854644404
Queens,2016-08-02,37,0.0020684230913533314
Queens,2016-08-03,30,0
Queens,2016-08-04,21,0
Queens,2016-08-05,20,0
Queens,2016-08-06,30,0
Queens,2016-08-07,38,2.9718677661977884
Queens,2016-08-08,38,0
Queens,2016-08-09,34,0.002257161718998911
Queens,2016-08-10,52,0.03742283192859969
Queens,2016-08-11,33,3.4986949831925656
Queens,2016-08-12,30,9.194045441770422
Queens,2016-08-13,27,0.45191990776992563
Queens,2016-08-14,22,0.027359034053334192
Queens,2016-08-15,31,0.33160460220699245
Queens,2016-08-16,27,0.015549621550611348
Queens,2016-08-17,33,1.43600295354803
Queens,2016-08-18,30,0.22193261944300285
Queens,2016-08-19,32,2.3057651348011188e-5
Queens,2016-08-20,23,1.272664934991633
Queens,2016-08-21,41,11.2070329600933
Queens,2016-08-22,39,4.271254651749346
Queens,2016-08-23,33,0
Queens,2016-08-24,35,0
Queens,2016-08-25,21,0
Queens,2016-08-26,23,0
Queens,2016-08-27,28,0
Queens,2016-08-28,33,0
Queens,2016-08-29,26,0.0022349905794983266
Queens,2016-08-30,32,0
Queens,2016-08-31,18,0
Queens,2016-09-01,20,2.346803867725546
Queens,2016-09-02,30,20.668865070110787
